Dataset,File Name,Original Size (B),Rygrans Size (B),Arithmetic Size (B),Rygrans Ratio (%),Arithmetic Ratio (%),Difference (%),Status
smallFiles,alice29.txt,152089,87454,87191,57.5,57.33,0.17,OK
smallFiles,asyoulik.txt,129301,79122,78715,61.19,60.88,0.31,OK
smallFiles,cp.html,25248,16991,16735,67.3,66.28,1.01,OK
smallFiles,fields.c,11581,7672,7430,66.25,64.16,2.09,OK
smallFiles,grammar.lsp,3815,2507,2341,65.71,61.36,4.35,OK
smallFiles,kennedy.xls,1029744,462749,478043,44.94,46.42,-1.49,OK
smallFiles,lcet10.txt,426754,250455,249749,58.69,58.52,0.17,OK
smallFiles,plrabn12.txt,481861,274216,274359,56.91,56.94,-0.03,OK
smallFiles,ptt5,513216,80468,108475,15.68,21.14,-5.46,OK
smallFiles,sum,38240,26538,26340,69.4,68.88,0.52,OK
smallFiles,test_dynamic.txt,200000,27169,25082,13.58,12.54,1.04,OK
smallFiles,xargs.1,4339,2940,2789,67.76,64.28,3.48,OK
