Dataset,File,Original (B),No key (B),Random key (B),Absolute loss (B),Relative loss
smallFiles,alice29.txt,152089,87568,87701,133,0.000874488
smallFiles,asyoulik.txt,129301,79159,79287,128,0.000989938
smallFiles,cp.html,25248,17017,17129,112,0.004435995
smallFiles,fields.c,11581,7702,7814,112,0.009671013
smallFiles,grammar.lsp,3815,2584,2649,65,0.017038008
smallFiles,kennedy.xls,1029744,461983,462190,207,0.000201021
smallFiles,lcet10.txt,426754,250548,250661,113,0.00026479
smallFiles,plrabn12.txt,481861,274305,274423,118,0.000244884
smallFiles,ptt5,513216,79307,79418,111,0.000216283
smallFiles,sum,38240,26389,26437,48,0.00125523
smallFiles,test_dynamic.txt,200000,26402,26581,179,0.000895
smallFiles,xargs.1,4339,3027,3100,73,0.016824153
50MFiles,dblp.xml.50MB,53882283,35586538,35586717,179,3.322e-06
50MFiles,dna.50MB,52429136,13140151,13140256,105,2.003e-06
50MFiles,english.50MB,52428800,29773267,29773542,275,5.245e-06
50MFiles,pitches.50MB,52428800,37023906,37024181,275,5.245e-06
50MFiles,proteins.50MB,52615713,27858805,27858845,40,7.6e-07
50MFiles,sources.50MB,54192109,37784921,37784886,-35,-6.46e-07
